survey_date,days_since_last,runsum
X10.30.18,0,0
X11.9.18,10,10
X11.29.18,20,30
X12.13.18,14,44
X1.4.19,22,66
X1.18.19,14,80
X2.8.19,21,101
X3.4.19,24,125
X3.21.19,17,142
X4.11.19,21,163
X5.2.19,21,184
X5.16.19,14,198
X5.28.19,12,210
X6.13.19,16,226
X7.1.19,18,244
X7.22.19,21,265
X8.16.19,25,290
X9.17.19,32,322
X10.14.19,27,349
X11.12.19,29,378
X12.6.19,24,402
