"","x"
"1",0
"2",-0.01953125
"3",-0.0390625
"4",-0.05859375
"5",-0.078125
"6",0.223105412327347
"7",0.203574162327347
"8",0.316906743152673
"9",0.399325496271217
"10",0.541463631539781
"11",0.653343088641836
"12",0.849002331070487
"13",0.922147620724316
"14",1.02914039930939
"15",1.19647709765493
"16",1.37375773881365
"17",1.44438398039543
"18",1.45389410246832
"19",1.43436285246832
"20",1.41483160246832
"21",1.45201046384712
"22",1.59299968919723
"23",1.57346843919723
"24",1.72629268983987
"25",1.77658163629143
"26",1.80241520413118
"27",1.87101965487036
"28",1.91550429134481
"29",1.93773415259124
"30",2.01965694745578
"31",2.05913092884871
"32",2.11628420891604
"33",2.18967216376317
"34",2.27774656936921
"35",2.29321390602215
"36",2.37627749005721
"37",2.56801495083921
"38",2.62619382100517
"39",2.66755574167485
"40",2.73737788174102
"41",2.79060070493664
"42",2.88448967769425
"43",2.93410650040518
"44",2.98247259623541
"45",3.00310689416539
"46",3.07570911573261
"47",3.09501299085944
"48",3.16466068837406
"49",3.2200463190676
"50",3.31042511080365
"51",3.31493605870901
"52",3.33121765680429
"53",3.37072476165303
"54",3.45550702258286
"55",3.50419228475399
"56",3.59614155002276
"57",3.66391430974072
"58",3.76187394428764
"59",3.83640580518249
"60",3.84783571644095
"61",3.8794847096933
"62",3.97076416571874
"63",4.00082262696448
"64",4.06938370239788
"65",4.11736921827825
"66",4.15504067683763
"67",4.24814231088274
"68",4.30244371822412
"69",4.38287403292094
"70",4.4527222199116
"71",4.51247089061973
"72",4.61418246620504
"73",4.67131594393036
"74",4.69396123011443
"75",4.7579228222417
"76",4.82077546399135
"77",4.85827627619596
"78",4.94332337082763
"79",5.05022042295137
"80",5.13164907128597
"81",5.16585339205376
"82",5.19963194397346
"83",5.27052686239354
"84",5.33285338015072
"85",5.39422746278417
"86",5.45468160179603
"87",5.47840204410767
"88",5.5516977778405
"89",5.59574129399178
"90",5.62527761769534
"91",5.66142624465343
"92",5.69027433465723
"93",5.74614086519004
"94",5.79450491639123
"95",5.84896570478454
"96",5.88944762547358
"97",5.92287368551394
"98",5.9951624469376
"99",6.034098232375
"100",6.11106781453787
"101",6.15523242478974
"102",6.24285084794995
"103",6.26703602189351
"104",6.34656946523301
"105",6.37613284135171
"106",6.44788964028279
"107",6.48266354916038
"108",6.54692832721596
"109",6.62217930711401
"110",6.66721841386705
"111",6.71759124067744
"112",6.76741720466062
"113",6.8452304236908
"114",6.86547861305347
"115",6.93060714326246
"116",6.96708356923561
"117",7.02539587673597
"118",7.08855110580264
"119",7.15642228144386
"120",7.21810376377083
"121",7.31112275323796
"122",7.38175156828952
"123",7.40961605606876
"124",7.45814313442705
"125",7.4906464773108
"126",7.56409557801892
"127",7.59584863030425
"128",7.64767915013189
"129",7.69396509995954
"130",7.73481324330727
"131",7.76033424852815
"132",7.82041304679401
"133",7.87496558356337
"134",7.94852673649053
"135",7.98736963892713
"136",8.00657662619446
"137",8.06410191443016
"138",8.11631149559441
"139",8.17751429793229
"140",8.21931863904844
"141",8.25610104420798
"142",8.31120885932506
"143",8.35195314279815
"144",8.41534520648796
"145",8.47812826150719
"146",8.49952993704373
"147",8.5478936096572
"148",8.59136812397223
"149",8.6210994883847
"150",8.67284894730437
"151",8.69764623740386
"152",8.75308814177536
"153",8.7993130202926
"154",8.87990025611184
"155",8.91658588458369
"156",8.96588290251375
"157",9.01478716749874
"158",9.03783163113322
"159",9.09033744069444
"160",9.13401621022886
"161",9.16481890102114
"162",9.21208063692922
"163",9.22581085190931
"164",9.27666541362399
"165",9.33533308945568
"166",9.36494033510173
"167",9.39435650211912
"168",9.42763855798608
"169",9.48087261663716
"170",9.53369413758106
"171",9.57015650196769
"172",9.5944501841465
"173",9.62652135516725
"174",9.66627771985765
"175",9.70183949797592
"176",9.75280352105682
"177",9.78006024174912
"178",9.83040204377834
"179",9.88422925696449
"180",9.91465943336809
"181",9.94108178410752
"182",9.99018819166903
"183",10.0275900308883
"184",10.0609818551374
"185",10.1016837005676
"186",10.1533369651974
"187",10.1748500671115
"188",10.203669029276
"189",10.2323198602466
"190",10.2423563094761
"191",10.2670593376047
"192",10.3099547600089
"193",10.3562212208923
"194",10.3876545490569
"195",10.4044145295797
"196",10.4571887756657
"197",10.4880540882153
"198",10.5259025434985
"199",10.5421175779817
"200",10.5867071617422
"201",10.6380897410494
"202",10.6750415763812
"203",10.6942160337877
"204",10.7132884259886
"205",10.7497273778205
"206",10.7789962219898
"207",10.8150399893069
"208",10.8370537879162
"209",10.8658456332294
"210",10.9047829576121
"211",10.9332315694161
"212",10.9547043793853
"213",10.9692581788392
"214",11.0074957247287
"215",11.0421348327825
"216",11.0597341503469
"217",11.0873297146516
"218",11.1348718784786
"219",11.162118424875
"220",11.2025223514964
"221",11.2161883648048
"222",11.2165414169614
"223",11.2400057393935
"224",11.2534674160877
"225",11.2504065053391
"226",11.273617109948
"227",11.2999855349784
"228",11.3196904210494
"229",11.3490673426504
"230",11.3620576177751
"231",11.3847047603436
"232",11.4330721476868
"233",11.4586464783148
"234",11.4808853495607
"235",11.5190106290757
"236",11.5664852784709
"237",11.5946457459907
"238",11.6004927742599
"239",11.6252782805129
"240",11.6719968016562
"241",11.6933430430659
"242",11.7396300441946
"243",11.7419797558917
"244",11.7692386624698
"245",11.7963653802249
"246",11.823361023223
"247",11.8471375840925
"248",11.8646378663006
"249",11.8851316043299
"250",11.90552980815
"251",11.9288934491356
"252",11.939934521077
"253",11.9600645192803
"254",11.9740201536366
"255",11.9939790432654
"256",12.0108187679406
"257",12.0396613881153
"258",12.0804050394137
"259",12.0999388032923
"260",12.1074004848361
"261",12.1327633771498
"262",12.1609904940241
"263",12.1920581272172
"264",12.2081548647475
"265",12.2389716847009
"266",12.2755399119135
"267",12.3089896879934
"268",12.3334871036418
"269",12.3549498410831
"270",12.3967310554783
"271",12.4179567329543
"272",12.4303830320421
"273",12.4514418769113
"274",12.4637378957967
"275",12.4875159557604
"276",12.5025565956626
"277",12.5376278294133
"278",12.5725332694164
"279",12.5901534239364
"280",12.5934465541097
"281",12.6137886462297
"282",12.6340430079052
"283",12.6513774896693
"284",12.6714642795708
"285",12.6745332345279
"286",12.6944850389155
"287",12.7171625468739
"288",12.7257164753493
"289",12.742631756389
"290",12.7538834866701
"291",12.7734562440931
"292",12.7873768245804
"293",12.8012369315891
"294",12.8483082793856
"295",12.8785726440983
"296",12.9059486214839
"297",12.9332070276748
"298",12.9466334616053
"299",12.9517825020259
"300",12.9678433841835
"301",12.9811067312499
"302",13.0024886276526
"303",13.0101836281002
"304",13.0124051849805
"305",13.0417265941089
"306",13.0519879407615
"307",13.0676060344093
"308",13.0669745097298
"309",13.0905724285681
"310",13.1060120725364
"311",13.1267526287274
"312",13.131343928769
"313",13.1439290267525
"314",13.1644679701927
"315",13.1769330064759
"316",13.2052970235346
"317",13.2123231200513
"318",13.2246127365386
"319",13.2209723791071
"320",13.2516767783062
"321",13.255896205565
"322",13.2890409796556
"323",13.2905404585588
"324",13.3025130148675
"325",13.301335635768
"326",13.3106115611622
"327",13.3146184570647
"328",13.3316462518913
"329",13.3355814941645
"330",13.3550992006844
"331",13.3667517017054
"332",13.380947554575
"333",13.3795533328569
"334",13.3936612743263
"335",13.4077124406675
"336",13.4010824477247
"337",13.4124802179049
"338",13.4212585591765
"339",13.4376998568376
"340",13.4463875142339
"341",13.4422316831139
"342",13.4380640895874
"343",13.4568906968757
"344",13.4654421686244
"345",13.4841426301009
"346",13.4849720732301
"347",13.4959434850948
"348",13.4992591188224
"349",13.5000146201386
"350",13.5159364794632
"351",13.5166364212638
"352",13.5147909814968
"353",13.5255425922172
"354",13.5211359279538
"355",13.5293040232806
"356",13.5449722989561
"357",13.5555639866145
"358",13.5535840354935
"359",13.54908481994
"360",13.5595846858584
"361",13.5800268589057
"362",13.5929170215479
"363",13.6082442906219
"364",13.6135760492304
"365",13.6163960056668
"366",13.6142323767236
"367",13.624440408843
"368",13.6346059258407
"369",13.6348489908338
"370",13.6449440526975
"371",13.637744683427
"372",13.6403924705344
"373",13.6307110141593
"374",13.6382427879397
"375",13.6334584438264
"376",13.633573593592
"377",13.6263119965039
"378",13.623946209704
"379",13.641150901453
"380",13.6338507092108
"381",13.6387602650133
"382",13.6412015147452
"383",13.64118216875
"384",13.6508849937258
"385",13.6581161620472
"386",13.6531683367508
"387",13.6482104735308
"388",13.6432425930865
"389",13.6455376602289
"390",13.6429669287895
"391",13.6379624944706
"392",13.6281102750244
"393",13.6375897193119
"394",13.6422038900628
"395",13.6419693040183
"396",13.6393083308535
"397",13.6342267173875
"398",13.624323132538
"399",13.6288420975709
"400",13.6333340671636
"401",13.6354007086699
"402",13.6278588948506
"403",13.6298917670004
"404",13.6319030137397
"405",13.6267214461934
"406",13.6191409588178
"407",13.6211043810836
"408",13.615891010117
"409",13.6082840683327
"410",13.6006705403506
"411",13.6001939734865
"412",13.6044574740873
"413",13.6063191430034
"414",13.6105330412096
"415",13.6052364032008
"416",13.5904479484698
"417",13.580399179997
"418",13.5892905513133
"419",13.5863220115294
"420",13.5762495071435
"421",13.5779854164049
"422",13.5749809448832
"423",13.5743221115742
"424",13.5571487658892
"425",13.5541157167463
"426",13.5604850552319
"427",13.564473194826
"428",13.5660878052804
"429",13.5559481662393
"430",13.545804504233
"431",13.5426918684923
"432",13.5465944918472
"433",13.5387708079692
"434",13.5402974746741
"435",13.5371306778724
"436",13.5339517251604
"437",13.5190903311695
"438",13.5158957891615
"439",13.5056943690857
"440",13.4954890048834
"441",13.4876095733156
"442",13.477395353086
"443",13.4648492974434
"444",13.4523010344394
"445",13.4327697844394
"446",13.4178926338245
"447",13.4053406965307
"448",13.3951117721562
"449",13.387202932225
"450",13.381610524785
"451",13.3690454079122
"452",13.3564781016936
"453",13.3485485650511
"454",13.3336563013093
"455",13.3234001144583
"456",13.3154572445966
